URL,Num_sw_records,Error
researchspace.bathspa.ac.uk/cgi/oai2,0,No error
researchonline.rcm.ac.uk/cgi/oai2,0,BadVerbError
nhm.openrepository.com/nhm-oai/request,0,No error
researchdata.reading.ac.uk/cgi/oai2,0,No error
www.open-access.bcu.ac.uk/cgi/oai2,0,No error
nottingham-repository.worktribe.com/oaiprovider,0,404 error
pure-oai.bham.ac.uk/ws/oai,0,Bad Argument Error
cris.brighton.ac.uk/ws/oai,0,Bad Argument Error
theses.gla.ac.uk/perl/oai2,0,BadVerbError
journals.kent.ac.uk/index.php/index/oai,0,No error
journals.gold.ac.uk/index/oai,0,BadVerbError
rdmc.nottingham.ac.uk/oai/openaire,0,No error
eprints.ncrm.ac.uk/cgi/oai2,0,BadVerbError
journals.northampton.ac.uk/index.php/index/oai,0,URL error
edshare.gcu.ac.uk/cgi/oai2,0,No error
lau.repository.guildhe.ac.uk/cgi/oai2,0,No error
