URL,contains_software_set,Num_sw_records,Error
bradscholars.brad.ac.uk/dspace-oai/request,No,0.0,No error
etheses.dur.ac.uk/cgi/oai2,No,12963.0,No error
dro.dur.ac.uk/cgi/oai2,No,28313.0,No error
eprints.soton.ac.uk/cgi/oai2,No,13.0,No error
eprints.gla.ac.uk/cgi/oai2,No,0.0,No error
researchonline.ljmu.ac.uk/cgi/oai2,No,0.0,No error
nectar.northampton.ac.uk/cgi/oai2,No,0.0,No error
purehost.bath.ac.uk/ws/oai,No,0.0,Bad Argument Error
ora.ox.ac.uk/oai2,No,0.0,No error
repository.uel.ac.uk/oai2,No,0.0,OAI XML Syntax error
eprints.soas.ac.uk/cgi/oai2,No,0.0,No error
ssudl.solent.ac.uk/cgi/oai2,No sets,0.0,URL error
research.uca.ac.uk/cgi/oai2,No,0.0,No error
hydra-oai-pmh.hull.ac.uk/oaiprovider,No,0.0,No error
wrap.warwick.ac.uk/cgi/oai2,No,0.0,No error
openaccess.city.ac.uk/cgi/oai2,Yes,10.0,No error
repository.canterbury.ac.uk/oai2,No,0.0,OAI XML Syntax error
sure.sunderland.ac.uk/cgi/oai2,No,0.0,No error
research.tees.ac.uk/ws/oai,No,0.0,Bad Argument Error
repository.uwl.ac.uk/cgi/oai2,No,0.0,No error
eprints.keele.ac.uk/cgi/oai2,No,0.0,No error
ray.yorksj.ac.uk/cgi/oai2,No,0.0,No error
cris.winchester.ac.uk/ws/oai,No,0.0,Bad Argument Error
bear.buckingham.ac.uk/cgi/oai2?verb=identify,No,0.0,No error
openresearch.lsbu.ac.uk/oai2,No,0.0,No error
repository.rothamsted.ac.uk/oai2,No,0.0,OAI XML Syntax error
ojs.st-andrews.ac.uk/index.php/index/oai,No,0.0,No error
publications.coventry.ac.uk/index.php/index/oai,No,0.0,No error
bucks.repository.guildhe.ac.uk/cgi/oai2,No,0.0,No error
marjon.repository.guildhe.ac.uk/cgi/oai2,No,0.0,No error
journals.gre.ac.uk/index.php/index/oai,No,0.0,No error
