URL,contains_software_set
pure.ulster.ac.uk/ws/oai,No
lau.collections.crest.ac.uk/cgi/oai2,No sets
ojs.lboro.ac.uk/index/oai,No
researchdata.essex.ac.uk/cgi/oai2,No
rave.repository.guildhe.ac.uk/cgi/oai2,No
pure.northampton.ac.uk/ws/oai,No
dspace.lib.cranfield.ac.uk/oai/request,No
irep.ntu.ac.uk/cgi/oai2,No
eprints.kingston.ac.uk/cgi/oai2,No
plymsea.ac.uk/cgi/oai2,No
orca.cardiff.ac.uk/cgi/oai2,No
eresearch.qmu.ac.uk/dspace-oai/request,No
shura.shu.ac.uk/cgi/oai2,No
eprints.worc.ac.uk/cgi/oai2,No
wlv.openrepository.com/wlv-oai/request,No
www.edshare.soton.ac.uk/cgi/oai2,No sets
pure.manchester.ac.uk/ws/oai,No
eprint.ncl.ac.uk/oai/,No sets
pure.qub.ac.uk/ws/oai,No sets
ore.exeter.ac.uk/oai/request,No
www.ros.hw.ac.uk/dspace-oai/request,No
researchspace.bathspa.ac.uk/cgi/oai2,No
nhm.openrepository.com/nhm-oai/request,No
researchdata.reading.ac.uk/cgi/oai2,No
nottingham-repository.worktribe.com/oaiprovider,No
pure-oai.bham.ac.uk/ws/oai,No
cris.brighton.ac.uk/ws/oai,No
theses.gla.ac.uk/perl/oai2,No sets
journals.kent.ac.uk/index.php/index/oai,No
journals.gold.ac.uk/index/oai,No sets
rdmc.nottingham.ac.uk/oai/openaire,No
journals.northampton.ac.uk/index.php/index/oai,No sets
edshare.gcu.ac.uk/cgi/oai2,No sets
researchonline.rcm.ac.uk/cgi/oai2,No
www.open-access.bcu.ac.uk/cgi/oai2,No
research.gold.ac.uk/cgi/oai2,Yes
eprints.ncrm.ac.uk/cgi/oai2,No
specialcollections.le.ac.uk/oai/oai.php,No
repository.alt.ac.uk/cgi/oai2,No
eprints.chi.ac.uk/cgi/oai2,No
theses.gla.ac.uk/cgi/oai2,No
researchonline.rca.ac.uk/cgi/oai2,No
hira.hope.ac.uk/cgi/oai2,No
eprints.whiterose.ac.uk/cgi/oai2,No
cdm15979.contentdm.oclc.org/oai/oai.php,No
eprints.lancs.ac.uk/cgi/oai2,No
discovery.ucl.ac.uk/cgi/oai2,No
lau.repository.guildhe.ac.uk/cgi/oai2,No
journals.sfu.ca/vm/index.php/vm/oai,No
www.repository.uhblibrary.co.uk/cgi/oai2,No
cedadocs.ceda.ac.uk/cgi/oai2,No
centaur.reading.ac.uk/cgi/oai2,No
napier-repository.worktribe.com,No
eprints.ncl.ac.uk/oai,No
etheses.whiterose.ac.uk/cgi/oai2,No
theses.gla.ac.uk/cgi/oai2,No
openaccess.sgul.ac.uk/cgi/oai2,Yes
repository.jisc.ac.uk/cgi/oai2,No
www.performancephilosophy.org/index/oai,No
edshare.soton.ac.uk/cgi/oai2,No
journals.gold.ac.uk/index.php/index/oai,No
eprints.mdx.ac.uk/cgi/oai2,No
datacompass.lshtm.ac.uk/cgi/oai2,No
researchdata.gla.ac.uk/cgi/oai2,No
etheses.whiterose.ac.uk/cgi/oai2,No
eprints.glos.ac.uk/cgi/oai2,Yes
pure.hw.ac.uk/ws/oai,No
archive.researchdata.leeds.ac.uk/cgi/oai2,No
www.northumbriajournals.co.uk/index.php/index/oai,No
eprints.leedsbeckett.ac.uk/cgi/oai2,Yes
dora.dmu.ac.uk/oai/request,No
pureadmin.qub.ac.uk/ws/oai,No
ualresearchonline.arts.ac.uk/cgi/oai2,No
publications.aston.ac.uk/cgi/oai2,No
cdm15847.contentdm.oclc.org/oai/oai.php,No
uobrep.openrepository.com/oai/request,No
risweb.st-andrews.ac.uk/ws/oai,No
eprints.hrwallingford.com/cgi/oai2,No
nora.nerc.ac.uk/cgi/oai2,No
spiral.imperial.ac.uk/dspace-oai/request,No
amber.openrepository.com/oai/request,No
oai.ukdataservice.ac.uk:8443/oai/provider,No
ecommons.aku.edu/do/oai/,No
