Provider’s legal name,Provider’s trading name(s),Provider's website,Pure Add,Search string,Pure Research Outputs,Pure Software Outputs,HOST,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,,,,,
The University of Lancaster,Lancaster University,https://www.lancaster.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Buckingham,University of Buckingham,https://www.buckingham.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Sheffield,University of Sheffield,https://www.sheffield.ac.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Warwick,University of Warwick,https://www.warwick.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury Christ Church University,Not applicable,https://www.canterbury.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranfield University,Not applicable,https://www.cranfield.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Beckett University,Not applicable,https://www.leedsbeckett.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheffield Hallam University,Not applicable,https://www.shu.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of St Mark & St John,Plymouth Marjon University,https://www.marjon.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel University London,Not applicable,https://www.brunel.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich University of the Arts,Not applicable,https://www.nua.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of the West of England, Bristol","UWE
University of the West of England
UWE, Bristol
University of West of England",https://www.uwe.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harper Adams University,Not applicable,https://www.harper-adams.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex University Higher Education Corporation,Middlesex University,https://www.mdx.ac.uk/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Sussex,Not applicable,https://www.sussex.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York St John University,York St John University,https://www.yorksj.ac.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Trinity University,Not applicable,https://www.leedstrinity.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Lincoln,Not applicable,https://www.lincoln.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts University Plymouth,Arts University Plymouth,https://www.plymouthart.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bournemouth University Higher Education Corporation,Bournemouth University,https://www.bournemouth.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falmouth University,Not applicable,https://www.falmouth.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of Salford, the",The University of Salford,https://www.salford.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool Hope University,Not applicable,https://www.hope.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Metropolitan University,Not applicable,https://www2.mmu.ac.uk/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishop Grosseteste University,Not applicable,https://www.bishopg.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
