Name,Type,Compatibility,OAI-PMH,website
"Surrey Research Insight",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://epubs.surrey.ac.uk/cgi/oai2,http://epubs.surrey.ac.uk/
"Kent Academic Repository",Institutional Repository,collected from a compatible aggregator,,http://kar.kent.ac.uk/
"Norwich Bioscience Institutes Open Access Repository",Institutional Repository,not available,,https://openaccess.nbi.ac.uk/
"Leeds Beckett University Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.leedsbeckett.ac.uk/
"Foodbase",Institutional Repository,not available,,http://www.foodbase.org.uk/
"University of South Wales Research Explorer",Institutional Repository,not available,,https://pure.southwales.ac.uk/
"Edinburgh Research Explorer",Institutional Repository,OpenAIRE 2.0+ (DRIVER OA EC funding),https://www.pure.ed.ac.uk/ws/oai,http://www.research.ed.ac.uk/portal/
"Trinity Laban Research Online",Institutional Repository,not available,,https://researchonline.trinitylaban.ac.uk
"Department of Computer Science E-Repository",Institutional Repository,not available,,http://calcium.dcs.kcl.ac.uk/
"Queen's University Research Portal",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://pure.qub.ac.uk/ws/oai,http://pure.qub.ac.uk/portal/
"St Mary's University Open Research Archive",Institutional Repository,collected from a compatible aggregator,,http://research.stmarys.ac.uk/
"King's Research Portal",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://kclpure.kcl.ac.uk/ws/oai,https://kclpure.kcl.ac.uk/portal/
"Nottingham Research Repository",Institutional Repository,collected from a compatible aggregator,,https://nottingham-repository.worktribe.com
"UCL Discovery",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://discovery.ucl.ac.uk/cgi/oai2,http://discovery.ucl.ac.uk/
"Plymouth Electronic Archive and Research Library",Institutional Repository,OpenAIRE 3.0 (OA funding),https://pearl.plymouth.ac.uk/oai/request,http://pearl.plymouth.ac.uk/
"Royal Holloway University of London",Institutional Repository,not available,,https://pure.royalholloway.ac.uk
"BEAR (Buckingham E-Archive of Research)",Institutional Repository,not available,,http://bear.buckingham.ac.uk/
"University of Brighton Research Repository",Institutional Repository,not available,,https://research.brighton.ac.uk/en/
"British History Online",Institutional Repository,not available,,http://www.british-history.ac.uk/
"University College London Research Data Repository",Institutional Repository,not available,,https://rdr.ucl.ac.uk
"SAS-SPACE",Institutional Repository,collected from a compatible aggregator,,http://sas-space.sas.ac.uk/
"MIMS EPrints",Institutional Repository,not available,,http://eprints.ma.man.ac.uk
"Hartpury Pure",Institutional Repository,not available,,https://hartpury.pure.elsevier.com/
"Insight",Institutional Repository,collected from a compatible aggregator,,http://insight.cumbria.ac.uk/
"U-Now",Institutional Repository,not available,,https://rdmc.nottingham.ac.uk/handle/internal/79
"University of Salford Institutional Repository",Institutional Repository,collected from a compatible aggregator,,http://usir.salford.ac.uk/
"Natural History Museum Repository",Institutional Repository,OpenAIRE 3.0 (OA funding),http://nhm.openrepository.com/nhm-oai/request,http://nhm.openrepository.com/nhm/
"University of East Anglia digital repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://ueaeprints.uea.ac.uk/cgi/oai2,https://ueaeprints.uea.ac.uk/
"Jisc Repository",Institutional Repository,not available,,http://repository.jisc.ac.uk/
