Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,"Software / Code"
Created,2022-08-26T16:25:44Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
"Multigrid preconditioners for the hybridized Discontinuous Galerkin discretisation of the shallow water equations","Betteridge, J; Gibson, TH; Graham, I; Mueller, EH",2020,"Spiral: Imperial College Digital Repository",oai:spiral.imperial.ac.uk:10044/1/89227,http://hdl.handle.net/10044/1/89227
"navjotk/error_propagation: v0.1","Kukreja, N",2020,"Spiral: Imperial College Digital Repository",oai:spiral.imperial.ac.uk:10044/1/90102,http://hdl.handle.net/10044/1/90102
"sp94/Peacock.jl: v0.1.2","Palmer, S",2021,"Spiral: Imperial College Digital Repository",oai:spiral.imperial.ac.uk:10044/1/90961,http://hdl.handle.net/10044/1/90961
"The MICE Analysis User Software (MAUS)","Bayes, R; Bogomilov, M; Carlisle, T; Dobbs, AJ; Drielsma, F; Fayer, S; Greis, J; Heidt, C; Hunt, C; Jackson, M; Kafka, G; Karadzhov, Y; Lane, P; Nugent, J; Pidcott, C; Rajaram, D; Richards, A; Robinson, M; Rogers, C; Santos, E; Tunnell, C; Uchida, MA...",2016,"Spiral: Imperial College Digital Repository",oai:spiral.imperial.ac.uk:10044/1/56071,http://hdl.handle.net/10044/1/56071
"yannaodh/sweeney_clopath_2020 0.1","Sweeney, YA",2020,"Spiral: Imperial College Digital Repository",oai:spiral.imperial.ac.uk:10044/1/82690,http://hdl.handle.net/10044/1/82690
